Sunday,First Reading,Responsorial Psalm,Second Reading,Alleluia Verse,Gospel
1st Sunday of Advent - A,Isa 2:1-5,"Ps 122:1-2, 3-4a, 4b-5, 6-7, 8-9",Rom 13:11-14,Ps 85:8,Matt 24:37-44
2nd Sunday of Advent - A,Isa 11:1-10,"Ps 72:1-2, 7-8, 12-13, 17",Rom 15:4-9,Luke 3:4+6,Matt 3:1-12
3rd Sunday of Advent - A,"Isa 35:1-6a, 10","Ps 146:6c-7, 8-9a, 9b-10",Jas 5:7-10,Isa 61:1 (cited in Lk 4:18),Matt 11:2-11
4th Sunday of Advent - A,Isa 7:10-14,"Ps 24:1-2, 3-4, 5-6",Rom 1:1-7,Matt 1:23,Matt 1:18-24
1st Sunday of Advent - B,"Isa 63:16b-17, 19b; 64:2-7","Ps 80:2-3, 15-16, 18-19",1 Cor 1:3-9,Ps 85:8,Mark 13:33-37
2nd Sunday of Advent - B,"Isa 40:1-5, 9-11","Ps 85:9ab+10, 11-12, 13-14",2 Pet 3:8-14,Luke 3:4+6,Mark 1:1-8
3rd Sunday of Advent - B,"Isa 61:1-2a, 10-11","Luke 1:46-48, 49-50, 53-54",1 Thess 5:16-24,Isa 61:1 (cited in Lk 4:18),"John 1:6-8, 19-28"
4th Sunday of Advent - B,"2 Sam 7:1-5, 8b-12, 14a, 16","Ps 89:2-3, 4-5, 27+29",Rom 16:25-27,Luke 1:38,Luke 1:26-38
1st Sunday of Advent - C,Jer 33:14-16,"Ps 25:4-5, 8-9, 10+14",1 Thess 3:12â€“4:2,Ps 85:8,"Luke 21:25-28, 34-36"
2nd Sunday of Advent - C,Bar 5:1-9,"Ps 126:1-2a, 2b-3, 4-5, 6","Phil 1:4-6, 8-11",Luke 3:4+6,Luke 3:1-6
3rd Sunday of Advent - C,Zeph 3:14-18a,"Isa 12:2-3, 4bcd, 5-6",Phil 4:4-7,Isa 61:1 (cited in Lk 4:18),Luke 3:10-18
4th Sunday of Advent - C,Mic 5:1-4a,"Ps 80:2-3, 15-16, 18-19",Heb 10:5-10,Luke 1:38,Luke 1:39-45